state,district,crop,year,season,area,production,yield
ANDHRA PRADESH,ADILABAD,Rice,1998-99,Kharif,66400,152300,2.293674699
ANDHRA PRADESH,ADILABAD,Rice,1998-99,Rabi,12200,33500,2.745901639
ANDHRA PRADESH,ADILABAD,Rice,1999-00,Kharif,66388,162451,2.446993433
ANDHRA PRADESH,ADILABAD,Rice,1999-00,Rabi,10980,26616,2.424043716
ANDHRA PRADESH,ADILABAD,Rice,2000-01,Kharif,70645,146235,2.069997877
ANDHRA PRADESH,ADILABAD,Rice,2000-01,Rabi,6828,21023,3.07893966
ANDHRA PRADESH,ADILABAD,Rice,2001-02,Kharif,67358,150343,2.231999169
ANDHRA PRADESH,ADILABAD,Rice,2001-02,Rabi,9786,23398,2.390966687
ANDHRA PRADESH,ADILABAD,Rice,2002-03,Kharif,71657,110710,1.544999093
ANDHRA PRADESH,ADILABAD,Rice,2002-03,Rabi,5137,11188,2.177924859
ANDHRA PRADESH,ADILABAD,Rice,2003-04,Kharif,74851,184732,2.46799642
ANDHRA PRADESH,ADILABAD,Rice,2003-04,Rabi,6069,16016,2.638985006
ANDHRA PRADESH,ADILABAD,Rice,2004-05,Kharif,35637,54133,1.51901114
ANDHRA PRADESH,ADILABAD,Rice,2004-05,Rabi,3984,8749,2.196034137
ANDHRA PRADESH,ADILABAD,Rice,2005-06,Kharif,69284,178198,2.571993534
ANDHRA PRADESH,ADILABAD,Rice,2005-06,Rabi,9466,22586,2.3860131
ANDHRA PRADESH,ADILABAD,Rice,2006-07,Kharif,64743,155318,2.398992941
ANDHRA PRADESH,ADILABAD,Rice,2006-07,Rabi,9019,22548,2.500055439
ANDHRA PRADESH,ADILABAD,Rice,2007-08,Kharif,40000,96000,2.4
ANDHRA PRADESH,ADILABAD,Rice,2007-08,Rabi,12000,28000,2.333333333
ANDHRA PRADESH,ADILABAD,Rice,2008-09,Kharif,54506,133049,2.440997321
ANDHRA PRADESH,ADILABAD,Rice,2008-09,Rabi,22788,65333,2.866991399
ANDHRA PRADESH,ADILABAD,Rice,2009-10,Kharif,37878,75264,1.98701093
ANDHRA PRADESH,ADILABAD,Rice,2009-10,Rabi,10240,23235,2.269042969
ANDHRA PRADESH,ADILABAD,Rice,2010-11,Kharif,62903,175263,2.78624231
ANDHRA PRADESH,ADILABAD,Rice,2010-11,Rabi,27644,79891,2.889994212
ANDHRA PRADESH,ADILABAD,Rice,2011-12,Kharif,60681,151310,2.493531748
ANDHRA PRADESH,ADILABAD,Rice,2011-12,Rabi,15489,48016,3.100006456
ANDHRA PRADESH,ANANTPUR,Rice,1998-99,Kharif,38300,96800,2.527415144
ANDHRA PRADESH,ANANTPUR,Rice,1998-99,Rabi,26600,63900,2.402255639
ANDHRA PRADESH,ANANTPUR,Rice,1999-00,Kharif,37991,105082,2.765970888
ANDHRA PRADESH,ANANTPUR,Rice,1999-00,Rabi,20258,45669,2.254368644
ANDHRA PRADESH,ANANTPUR,Rice,2000-01,Kharif,39905,117680,2.949003884
ANDHRA PRADESH,ANANTPUR,Rice,2000-01,Rabi,22099,57236,2.589981447
ANDHRA PRADESH,ANANTPUR,Rice,2001-02,Kharif,32878,95609,2.907993187
ANDHRA PRADESH,ANANTPUR,Rice,2001-02,Rabi,38119,108906,2.857000446
ANDHRA PRADESH,ANANTPUR,Rice,2002-03,Kharif,29066,66329,2.282013349
ANDHRA PRADESH,ANANTPUR,Rice,2002-03,Rabi,10960,20462,1.866970803
ANDHRA PRADESH,ANANTPUR,Rice,2003-04,Kharif,17515,44891,2.56300314
ANDHRA PRADESH,ANANTPUR,Rice,2003-04,Rabi,10826,25463,2.352022908
ANDHRA PRADESH,ANANTPUR,Rice,2004-05,Kharif,24335,85051,3.495007191
ANDHRA PRADESH,ANANTPUR,Rice,2004-05,Rabi,9240,21622,2.34004329
ANDHRA PRADESH,ANANTPUR,Rice,2005-06,Kharif,25008,69972,2.797984645
ANDHRA PRADESH,ANANTPUR,Rice,2005-06,Rabi,23142,55587,2.40199637
ANDHRA PRADESH,ANANTPUR,Rice,2006-07,Kharif,22349,67427,3.017002998
ANDHRA PRADESH,ANANTPUR,Rice,2006-07,Rabi,10846,31974,2.947999262
ANDHRA PRADESH,ANANTPUR,Rice,2007-08,Kharif,30000,95000,3.166666667
ANDHRA PRADESH,ANANTPUR,Rice,2007-08,Rabi,14000,37000,2.642857143
ANDHRA PRADESH,ANANTPUR,Rice,2008-09,Kharif,30306,94615,3.121989045
ANDHRA PRADESH,ANANTPUR,Rice,2008-09,Rabi,18416,49815,2.704984796
ANDHRA PRADESH,ANANTPUR,Rice,2009-10,Kharif,32226,101512,3.150003103
ANDHRA PRADESH,ANANTPUR,Rice,2009-10,Rabi,19428,46899,2.413990117
ANDHRA PRADESH,ANANTPUR,Rice,2010-11,Kharif,34973,102007,2.916735768
ANDHRA PRADESH,ANANTPUR,Rice,2010-11,Rabi,24828,69394,2.794989528
ANDHRA PRADESH,ANANTPUR,Rice,2011-12,Kharif,37720,94531,2.506124072
ANDHRA PRADESH,ANANTPUR,Rice,2011-12,Rabi,10948,25542,2.333028864
ANDHRA PRADESH,CHITTOOR,Rice,1998-99,Kharif,42000,105400,2.50952381
ANDHRA PRADESH,CHITTOOR,Rice,1998-99,Rabi,62400,159200,2.551282051
ANDHRA PRADESH,CHITTOOR,Rice,1999-00,Kharif,37542,75477,2.010468276
ANDHRA PRADESH,CHITTOOR,Rice,1999-00,Rabi,37489,76800,2.048600923
ANDHRA PRADESH,CHITTOOR,Rice,2000-01,Kharif,33776,89236,2.641994315
ANDHRA PRADESH,CHITTOOR,Rice,2000-01,Rabi,41442,97181,2.344988176
ANDHRA PRADESH,CHITTOOR,Rice,2001-02,Kharif,24377,55311,2.268983058
ANDHRA PRADESH,CHITTOOR,Rice,2001-02,Rabi,62049,170573,2.749004819
ANDHRA PRADESH,CHITTOOR,Rice,2002-03,Kharif,20137,50020,2.483984705
ANDHRA PRADESH,CHITTOOR,Rice,2002-03,Rabi,30034,76827,2.558000932
ANDHRA PRADESH,CHITTOOR,Rice,2003-04,Kharif,18495,38562,2.084995945
ANDHRA PRADESH,CHITTOOR,Rice,2003-04,Rabi,27286,46714,1.712013487
ANDHRA PRADESH,CHITTOOR,Rice,2004-05,Kharif,19055,43331,2.273996326
ANDHRA PRADESH,CHITTOOR,Rice,2004-05,Rabi,25822,69177,2.678994656
ANDHRA PRADESH,CHITTOOR,Rice,2005-06,Kharif,16240,37173,2.288977833
ANDHRA PRADESH,CHITTOOR,Rice,2005-06,Rabi,66351,193612,2.917996714
ANDHRA PRADESH,CHITTOOR,Rice,2006-07,Kharif,17049,42520,2.493987917
ANDHRA PRADESH,CHITTOOR,Rice,2006-07,Rabi,29164,85101,2.918015361
ANDHRA PRADESH,CHITTOOR,Rice,2007-08,Kharif,15000,42000,2.8
ANDHRA PRADESH,CHITTOOR,Rice,2007-08,Rabi,37000,116000,3.135135135
ANDHRA PRADESH,CHITTOOR,Rice,2008-09,Kharif,17596,46242,2.627983633
ANDHRA PRADESH,CHITTOOR,Rice,2008-09,Rabi,37927,118636,3.12800907
ANDHRA PRADESH,CHITTOOR,Rice,2009-10,Kharif,19758,56192,2.844012552
ANDHRA PRADESH,CHITTOOR,Rice,2009-10,Rabi,35155,113937,3.240989902
ANDHRA PRADESH,CHITTOOR,Rice,2010-11,Kharif,18019,53639,2.976802264
ANDHRA PRADESH,CHITTOOR,Rice,2010-11,Rabi,43558,131502,3.019009137
ANDHRA PRADESH,CHITTOOR,Rice,2011-12,Kharif,17342,55719,3.212951217
ANDHRA PRADESH,CHITTOOR,Rice,2011-12,Rabi,33764,113211,3.353009122
ANDHRA PRADESH,CUDDAPAH,Rice,1998-99,Kharif,59200,169800,2.868243243
ANDHRA PRADESH,CUDDAPAH,Rice,1998-99,Rabi,17000,41600,2.447058824
ANDHRA PRADESH,CUDDAPAH,Rice,1999-00,Kharif,54783,134484,2.454849132
ANDHRA PRADESH,CUDDAPAH,Rice,1999-00,Rabi,6828,12921,1.892355009
ANDHRA PRADESH,CUDDAPAH,Rice,2000-01,Kharif,60412,170120,2.815996822
ANDHRA PRADESH,CUDDAPAH,Rice,2000-01,Rabi,7426,6134,0.826016698
ANDHRA PRADESH,CUDDAPAH,Rice,2001-02,Kharif,38218,96883,2.535009681
ANDHRA PRADESH,CUDDAPAH,Rice,2001-02,Rabi,37550,98231,2.616005326
ANDHRA PRADESH,CUDDAPAH,Rice,2002-03,Kharif,27457,56424,2.054995083
ANDHRA PRADESH,CUDDAPAH,Rice,2002-03,Rabi,9203,16446,1.78702597
ANDHRA PRADESH,CUDDAPAH,Rice,2003-04,Kharif,23356,60025,2.570003425
ANDHRA PRADESH,CUDDAPAH,Rice,2003-04,Rabi,10767,24032,2.232005201
ANDHRA PRADESH,CUDDAPAH,Rice,2004-05,Kharif,46932,149619,3.187995398
ANDHRA PRADESH,CUDDAPAH,Rice,2004-05,Rabi,5689,11424,2.00808578
ANDHRA PRADESH,CUDDAPAH,Rice,2005-06,Kharif,45556,85828,1.884010888
ANDHRA PRADESH,CUDDAPAH,Rice,2005-06,Rabi,21197,55791,2.6320234
ANDHRA PRADESH,CUDDAPAH,Rice,2006-07,Kharif,41908,114493,2.732008208
ANDHRA PRADESH,CUDDAPAH,Rice,2006-07,Rabi,4997,10963,2.19391635
ANDHRA PRADESH,CUDDAPAH,Rice,2007-08,Kharif,45000,139000,3.088888889
ANDHRA PRADESH,CUDDAPAH,Rice,2007-08,Rabi,17000,45000,2.647058824
ANDHRA PRADESH,CUDDAPAH,Rice,2008-09,Kharif,50183,87168,1.737002571
ANDHRA PRADESH,CUDDAPAH,Rice,2008-09,Rabi,14883,41271,2.773029631
ANDHRA PRADESH,CUDDAPAH,Rice,2009-10,Kharif,52423,153757,2.933006505
ANDHRA PRADESH,CUDDAPAH,Rice,2009-10,Rabi,12894,34169,2.649992244
ANDHRA PRADESH,CUDDAPAH,Rice,2010-11,Kharif,53345,80657,1.511988003
ANDHRA PRADESH,CUDDAPAH,Rice,2010-11,Rabi,17037,48896,2.869988848
ANDHRA PRADESH,CUDDAPAH,Rice,2011-12,Kharif,47290,141161,2.985007401
ANDHRA PRADESH,CUDDAPAH,Rice,2011-12,Rabi,6606,17499,2.648955495
ANDHRA PRADESH,EAST GODAVARI,Rice,1998-99,Kharif,256300,386600,1.508388607
ANDHRA PRADESH,EAST GODAVARI,Rice,1998-99,Rabi,157600,656600,4.166243655
ANDHRA PRADESH,EAST GODAVARI,Rice,1999-00,Kharif,244655,628606,2.569356849
ANDHRA PRADESH,EAST GODAVARI,Rice,1999-00,Rabi,161551,645162,3.993550024
ANDHRA PRADESH,EAST GODAVARI,Rice,2000-01,Kharif,253966,683423,2.691001945
ANDHRA PRADESH,EAST GODAVARI,Rice,2000-01,Rabi,162861,683202,4.195000645
ANDHRA PRADESH,EAST GODAVARI,Rice,2001-02,Kharif,220811,579850,2.626001422
ANDHRA PRADESH,EAST GODAVARI,Rice,2001-02,Rabi,165779,750150,4.525000151
ANDHRA PRADESH,EAST GODAVARI,Rice,2002-03,Kharif,194809,551115,2.82900174
ANDHRA PRADESH,EAST GODAVARI,Rice,2002-03,Rabi,106427,491906,4.622003815
ANDHRA PRADESH,EAST GODAVARI,Rice,2003-04,Kharif,234673,762453,3.249001803
ANDHRA PRADESH,EAST GODAVARI,Rice,2003-04,Rabi,165321,869092,5.256996994
ANDHRA PRADESH,EAST GODAVARI,Rice,2004-05,Kharif,224521,743614,3.312001995
ANDHRA PRADESH,EAST GODAVARI,Rice,2004-05,Rabi,162903,766296,4.704001768
ANDHRA PRADESH,EAST GODAVARI,Rice,2005-06,Kharif,217411,348727,1.603998878
ANDHRA PRADESH,EAST GODAVARI,Rice,2005-06,Rabi,170012,800927,4.711002753
ANDHRA PRADESH,EAST GODAVARI,Rice,2006-07,Kharif,227930,547716,2.403000921
ANDHRA PRADESH,EAST GODAVARI,Rice,2006-07,Rabi,168963,845829,5.006001314
ANDHRA PRADESH,EAST GODAVARI,Rice,2007-08,Kharif,242000,715000,2.954545455
ANDHRA PRADESH,EAST GODAVARI,Rice,2007-08,Rabi,169000,803000,4.75147929
ANDHRA PRADESH,EAST GODAVARI,Rice,2008-09,Kharif,240231,716609,2.982999696
ANDHRA PRADESH,EAST GODAVARI,Rice,2008-09,Rabi,169861,796648,4.68999947
ANDHRA PRADESH,EAST GODAVARI,Rice,2009-10,Kharif,202153,616567,3.050001731
ANDHRA PRADESH,EAST GODAVARI,Rice,2009-10,Rabi,104423,456537,4.371996591
ANDHRA PRADESH,EAST GODAVARI,Rice,2010-11,Kharif,237640,457704,1.926039387
ANDHRA PRADESH,EAST GODAVARI,Rice,2010-11,Rabi,172888,849917,4.91599764
ANDHRA PRADESH,EAST GODAVARI,Rice,2011-12,Kharif,197445,589741,2.986862164
ANDHRA PRADESH,EAST GODAVARI,Rice,2011-12,Rabi,139649,587084,4.203997164
ANDHRA PRADESH,GUNTUR,Rice,1998-99,Kharif,298400,921400,3.087801609
ANDHRA PRADESH,GUNTUR,Rice,1998-99,Rabi,29100,99900,3.432989691
ANDHRA PRADESH,GUNTUR,Rice,1999-00,Kharif,302886,969414,3.200590321
ANDHRA PRADESH,GUNTUR,Rice,1999-00,Rabi,14822,53167,3.587032789
ANDHRA PRADESH,GUNTUR,Rice,2000-01,Kharif,292899,987363,3.371001608
ANDHRA PRADESH,GUNTUR,Rice,2000-01,Rabi,12692,49600,3.907973527
ANDHRA PRADESH,GUNTUR,Rice,2001-02,Kharif,272468,935110,3.431999354
ANDHRA PRADESH,GUNTUR,Rice,2001-02,Rabi,44917,181060,4.030990494
ANDHRA PRADESH,GUNTUR,Rice,2002-03,Kharif,202953,646811,3.18699896
ANDHRA PRADESH,GUNTUR,Rice,2002-03,Rabi,2716,7385,2.719072165
ANDHRA PRADESH,GUNTUR,Rice,2003-04,Kharif,170487,482990,2.83300193
ANDHRA PRADESH,GUNTUR,Rice,2003-04,Rabi,5772,16837,2.917013167
ANDHRA PRADESH,GUNTUR,Rice,2004-05,Kharif,240404,833961,3.46899802
ANDHRA PRADESH,GUNTUR,Rice,2004-05,Rabi,21247,70922,3.337977126
ANDHRA PRADESH,GUNTUR,Rice,2005-06,Kharif,288879,892636,3.089999619
ANDHRA PRADESH,GUNTUR,Rice,2005-06,Rabi,31434,111559,3.548991538
ANDHRA PRADESH,GUNTUR,Rice,2006-07,Kharif,288638,783941,2.716000665
ANDHRA PRADESH,GUNTUR,Rice,2006-07,Rabi,28933,100947,3.488991809
ANDHRA PRADESH,GUNTUR,Rice,2007-08,Kharif,283000,976000,3.448763251
ANDHRA PRADESH,GUNTUR,Rice,2007-08,Rabi,24000,85000,3.541666667
ANDHRA PRADESH,GUNTUR,Rice,2008-09,Kharif,281491,959321,3.407998835
ANDHRA PRADESH,GUNTUR,Rice,2008-09,Rabi,51358,187662,3.65399743
ANDHRA PRADESH,GUNTUR,Rice,2009-10,Kharif,190526,683226,3.585998761
ANDHRA PRADESH,GUNTUR,Rice,2009-10,Rabi,112342,383423,3.41299781
ANDHRA PRADESH,GUNTUR,Rice,2010-11,Kharif,271072,649760,2.397001535
ANDHRA PRADESH,GUNTUR,Rice,2010-11,Rabi,58393,201806,3.455996438
ANDHRA PRADESH,GUNTUR,Rice,2011-12,Kharif,281790,1080921,3.83590972
ANDHRA PRADESH,GUNTUR,Rice,2011-12,Rabi,11012,39060,3.547039593
ANDHRA PRADESH,HYDERABAD,Rice,1998-99,Kharif,100,200,2
ANDHRA PRADESH,HYDERABAD,Rice,1998-99,Rabi,100,200,2
ANDHRA PRADESH,HYDERABAD,Rice,1999-00,Kharif,25,60,2.4
ANDHRA PRADESH,HYDERABAD,Rice,1999-00,Rabi,12,29,2.416666667
ANDHRA PRADESH,HYDERABAD,Rice,2000-01,Kharif,16,46,2.875
ANDHRA PRADESH,KARIMNAGAR,Rice,1998-99,Kharif,135000,413100,3.06
ANDHRA PRADESH,KARIMNAGAR,Rice,1998-99,Rabi,123300,423400,3.433901054
ANDHRA PRADESH,KARIMNAGAR,Rice,1999-00,Kharif,140930,435474,3.090002129
ANDHRA PRADESH,KARIMNAGAR,Rice,1999-00,Rabi,91605,288647,3.150996125
ANDHRA PRADESH,KARIMNAGAR,Rice,2000-01,Kharif,162729,508854,3.127002563
ANDHRA PRADESH,KARIMNAGAR,Rice,2000-01,Rabi,108608,376544,3.467000589
ANDHRA PRADESH,KARIMNAGAR,Rice,2001-02,Kharif,141154,429108,3.039998866
ANDHRA PRADESH,KARIMNAGAR,Rice,2001-02,Rabi,103207,332223,3.218996773
ANDHRA PRADESH,KARIMNAGAR,Rice,2002-03,Kharif,133365,345015,2.586998088
ANDHRA PRADESH,KARIMNAGAR,Rice,2002-03,Rabi,48545,152965,3.150993923
ANDHRA PRADESH,KARIMNAGAR,Rice,2003-04,Kharif,122858,395726,3.221003109
ANDHRA PRADESH,KARIMNAGAR,Rice,2003-04,Rabi,64718,206321,3.188000247
ANDHRA PRADESH,KARIMNAGAR,Rice,2004-05,Kharif,65453,147989,2.26099644
ANDHRA PRADESH,KARIMNAGAR,Rice,2004-05,Rabi,18182,50382,2.77098229
ANDHRA PRADESH,KARIMNAGAR,Rice,2005-06,Kharif,146979,501639,3.412997775
ANDHRA PRADESH,KARIMNAGAR,Rice,2005-06,Rabi,119417,410675,3.438999472
ANDHRA PRADESH,KARIMNAGAR,Rice,2006-07,Kharif,166750,521094,3.125001499
ANDHRA PRADESH,KARIMNAGAR,Rice,2006-07,Rabi,166759,548470,3.288997895
ANDHRA PRADESH,KARIMNAGAR,Rice,2007-08,Kharif,130000,441000,3.392307692
ANDHRA PRADESH,KARIMNAGAR,Rice,2007-08,Rabi,152000,545000,3.585526316
ANDHRA PRADESH,KARIMNAGAR,Rice,2008-09,Kharif,160406,543135,3.386001771
ANDHRA PRADESH,KARIMNAGAR,Rice,2008-09,Rabi,175551,632861,3.604997978
ANDHRA PRADESH,KARIMNAGAR,Rice,2009-10,Kharif,84886,274182,3.230002592
ANDHRA PRADESH,KARIMNAGAR,Rice,2009-10,Rabi,77439,239209,3.088999083
