crop,records,total_area,total_production,average_yield
Coconut,1480,20883209.51,31002905517.7,1673.2502291701774
Sugarcane,5952,54260908.65,3584786059.27,52.33480385119527
Rice,11034,569031362.05,1161929084.6459563,1.8974233336024688
Wheat,6020,352468686.96,992622513.3,2.050757284166528
Potato,5396,16029811.67,294748002.468,12.62428221987679
Cotton(lint),3383,117890469.0,221209103.7,1.5340669291194258
Maize,9994,89015817.65,183832453.91,1.987616324784692
Jute,1005,9829310.0,119068734.8,8.82915086311722
Banana,2331,4286725.968,110312978.544,25.65353984113464
Bajra,4306,121302815.0,107358531.3,1.14504806181026
Soyabean,2515,96957846.0,99661321.2,1.0100533762575878
Groundnut,6594,83749889.1,92097901.32,1.1587508512791125
Jowar,5464,104849028.0,86687058.5,1.0133256735321237
Tapioca,1096,2577436.42,76995713.076,18.88433720400457
Gram,5651,90026071.95,74765736.57,0.8164461027965336
Rapeseed &Mustard,5812,67171954.03,71945031.81,0.7462278185148207
Onion,5242,4869530.97,57600186.1,11.398932453541642
Arhar (Tur),5537,41378074.21,28400187.03,0.7821500917238096
Ragi,3100,18646204.46,25434043.88,1.1525765474147451
Barley,3202,8469554.39,18017522.12,1.8001731817813298
Urad,6786,34892305.41,15836038.79,0.47443505541672903
Moong,7307,39665426.2,14311421.51,0.42620619798280684
Dry chillies,4870,8041780.34,13572468.05,1.273807148161089
Castor seed,2696,10938659.0,13216371.62,0.695927394872
Sunflower,4211,20890868.83,11246392.01,0.9375608791601732
Guar seed,803,19774820.0,10171791.0,1.0619367089135339
Mesta,1265,1365160.0,9951643.2,5.272882625970588
Masoor,2987,13748599.3,9107654.15,0.6785944719890785
Sesamum,6818,21611876.97,8089809.452,0.3679620212424333
Turmeric,3249,2295696.93,8053406.452,2.6884016462835865
Arecanut,1114,3827810.68,7680202.061,1.6403902589720216
Tobacco,1979,4685252.0,7571892.52,2.0235869176951407
Garlic,2503,1370490.0,6389977.8,3.194252431022895
Sweet potato,3140,730265.43,5881350.68,8.591136538655924
Dry ginger,2423,881885.31,5768618.348,4.8823526777286315
Peas & Beans (Pulses),3125,5717474.4,5667821.24,1.1579199849522563
Small millets,3401,11056819.0,4743282.0,0.621867460554267
Other Rabi Pulses,2536,8011374.0,4534714.7,0.6313576170310233
Kesari,875,6026460.0,4066690.0,0.723726508401837
Other Kharif Pulses,2890,10136575.0,3813328.3,0.4827203334261424
Moth,805,15650737.0,3669602.8,0.327875090129506
Coriander,2573,4548058.0,3255374.42,0.5055423523446506
HorseGram,2737,7367413.0,2873799.2,0.4234298754261807
Safflower,1036,4331855.5,2392016.18,0.5134999603827282
Linseed,3327,5194412.0,1994580.52,0.5041343131320755
Cashewnut,624,3991645.96,1560173.22927,16.266092209455575
Niger seed,1581,4473867.0,1150757.0,0.3417101509839641
Black pepper,616,2649875.4,1100256.611,1.0142935168917089
Sannhamp,1913,256390.0,443188.96,1.3021810667237443
Cardamom,324,731154.874,111743.104,0.1382579039962121
